@relation Results

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
50,0,29,71,0.29,1,0.632911,1,0.367089,0.775194,0.526667,1.898734,0
50,0,28,72,0.28,1,0.641026,1,0.358974,0.78125,0.52,1.923077,0
50,0,27,73,0.27,1,0.649351,1,0.350649,0.787402,0.513333,1.948052,0
50,0,26,74,0.26,1,0.657895,1,0.342105,0.793651,0.506667,1.973684,0
50,0,25,75,0.25,1,0.666667,1,0.333333,0.8,0.5,2,0
50,0,24,76,0.24,1,0.675676,1,0.324324,0.806452,0.493333,2.027027,0
50,0,23,77,0.23,1,0.684932,1,0.315068,0.813008,0.486667,2.054795,0
50,0,22,78,0.22,1,0.694444,1,0.305556,0.819672,0.48,2.083333,0
50,0,21,79,0.21,1,0.704225,1,0.295775,0.826446,0.473333,2.112676,0
50,0,20,80,0.2,1,0.714286,1,0.285714,0.833333,0.466667,2.142857,0
50,0,19,81,0.19,1,0.724638,1,0.275362,0.840336,0.46,2.173913,0
50,0,18,82,0.18,1,0.735294,1,0.264706,0.847458,0.453333,2.205882,0
50,0,17,83,0.17,1,0.746269,1,0.253731,0.854701,0.446667,2.238806,0
50,0,16,84,0.16,1,0.757576,1,0.242424,0.862069,0.44,2.272727,0
50,0,15,85,0.15,1,0.769231,1,0.230769,0.869565,0.433333,2.307692,0
50,0,14,86,0.14,1,0.78125,1,0.21875,0.877193,0.426667,2.34375,0
50,0,13,87,0.13,1,0.793651,1,0.206349,0.884956,0.42,2.380952,0
50,0,12,88,0.12,1,0.806452,1,0.193548,0.892857,0.413333,2.419355,0
50,0,11,89,0.11,1,0.819672,1,0.180328,0.900901,0.406667,2.459016,0
50,0,10,90,0.1,1,0.833333,1,0.166667,0.909091,0.4,2.5,0
50,0,9,91,0.09,1,0.847458,1,0.152542,0.917431,0.393333,2.542373,0
50,0,8,92,0.08,1,0.862069,1,0.137931,0.925926,0.386667,2.586207,0
50,0,7,93,0.07,1,0.877193,1,0.122807,0.934579,0.38,2.631579,0
50,0,6,94,0.06,1,0.892857,1,0.107143,0.943396,0.373333,2.678571,0
50,0,5,95,0.05,1,0.909091,1,0.090909,0.952381,0.366667,2.727273,0
50,0,4,96,0.04,1,0.925926,1,0.074074,0.961538,0.36,2.777778,0
50,0,3,97,0.03,1,0.943396,1,0.056604,0.970874,0.353333,2.830189,0
50,0,2,98,0.02,1,0.961538,1,0.038462,0.980392,0.346667,2.884615,0
50,0,1,99,0.01,1,0.980392,1,0.019608,0.990099,0.34,2.941176,0
50,0,0,100,0,1,1,1,0,1,0.333333,3,1
49,1,0,100,0,0.98,1,0.98,0,0.989899,0.326667,3,1
48,2,0,100,0,0.96,1,0.96,0,0.979592,0.32,3,1
47,3,0,100,0,0.94,1,0.94,0,0.969072,0.313333,3,1
46,4,0,100,0,0.92,1,0.92,0,0.958333,0.306667,3,1
45,5,0,100,0,0.9,1,0.9,0,0.947368,0.3,3,1
44,6,0,100,0,0.88,1,0.88,0,0.93617,0.293333,3,1
43,7,0,100,0,0.86,1,0.86,0,0.924731,0.286667,3,1
42,8,0,100,0,0.84,1,0.84,0,0.913043,0.28,3,1
41,9,0,100,0,0.82,1,0.82,0,0.901099,0.273333,3,1
40,10,0,100,0,0.8,1,0.8,0,0.888889,0.266667,3,1
39,11,0,100,0,0.78,1,0.78,0,0.876404,0.26,3,1
38,12,0,100,0,0.76,1,0.76,0,0.863636,0.253333,3,1
37,13,0,100,0,0.74,1,0.74,0,0.850575,0.246667,3,1
36,14,0,100,0,0.72,1,0.72,0,0.837209,0.24,3,1
35,15,0,100,0,0.7,1,0.7,0,0.823529,0.233333,3,1
34,16,0,100,0,0.68,1,0.68,0,0.809524,0.226667,3,1
31,19,0,100,0,0.62,1,0.62,0,0.765432,0.206667,3,1
26,24,0,100,0,0.52,1,0.52,0,0.684211,0.173333,3,1
21,29,0,100,0,0.42,1,0.42,0,0.591549,0.14,3,1
0,50,0,100,0,0,0,0,0,0,0,?,1.00001
