@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
62,10,2,784,60,0.92891,0.833333,0.012594,0.833333,0.987406,0.024814,0.92757,0.898405,0
63,10,2,783,61,0.927725,0.833333,0.01261,0.833333,0.98739,0.024845,0.926402,0.899538,0
64,10,2,782,62,0.92654,0.833333,0.012626,0.833333,0.987374,0.024876,0.925234,0.900673,0
65,10,2,781,63,0.925355,0.833333,0.012642,0.833333,0.987358,0.024907,0.924065,0.901812,0
66,10,2,780,64,0.924171,0.833333,0.012658,0.833333,0.987342,0.024938,0.922897,0.902954,0
67,10,2,779,65,0.922986,0.833333,0.012674,0.833333,0.987326,0.024969,0.921729,0.904098,0
68,10,2,778,66,0.921801,0.833333,0.01269,0.833333,0.98731,0.025,0.920561,0.905245,0
69,10,2,777,67,0.920616,0.833333,0.012706,0.833333,0.987294,0.025031,0.919393,0.906396,0
70,10,2,776,68,0.919431,0.833333,0.012723,0.833333,0.987277,0.025063,0.918224,0.907549,0
71,10,2,775,69,0.918246,0.833333,0.012739,0.833333,0.987261,0.025094,0.917056,0.908705,0
72,10,2,774,70,0.917062,0.833333,0.012755,0.833333,0.987245,0.025126,0.915888,0.909864,0
73,10,2,773,71,0.915877,0.833333,0.012771,0.833333,0.987229,0.025157,0.91472,0.911026,0
74,10,2,772,72,0.914692,0.833333,0.012788,0.833333,0.987212,0.025189,0.913551,0.912191,0
75,10,2,771,73,0.913507,0.833333,0.012804,0.833333,0.987196,0.025221,0.912383,0.913359,0
76,10,2,770,74,0.912322,0.833333,0.012821,0.833333,0.987179,0.025253,0.911215,0.91453,0
77,10,2,769,75,0.911137,0.833333,0.012837,0.833333,0.987163,0.025284,0.910047,0.915704,0
78,10,2,768,76,0.909953,0.833333,0.012853,0.833333,0.987147,0.025316,0.908879,0.916881,0
79,10,2,767,77,0.908768,0.833333,0.01287,0.833333,0.98713,0.025349,0.90771,0.918061,0
80,10,2,766,78,0.907583,0.833333,0.012887,0.833333,0.987113,0.025381,0.906542,0.919244,0
81,10,2,765,79,0.906398,0.833333,0.012903,0.833333,0.987097,0.025413,0.905374,0.92043,0
82,10,2,764,80,0.905213,0.833333,0.01292,0.833333,0.98708,0.025445,0.904206,0.921619,0
83,10,2,763,81,0.904028,0.833333,0.012937,0.833333,0.987063,0.025478,0.903037,0.922812,0
84,10,2,762,82,0.902844,0.833333,0.012953,0.833333,0.987047,0.02551,0.901869,0.924007,0
85,10,2,761,83,0.901659,0.833333,0.01297,0.833333,0.98703,0.025543,0.900701,0.925205,0
86,10,2,760,84,0.900474,0.833333,0.012987,0.833333,0.987013,0.025575,0.899533,0.926407,0
87,10,2,759,85,0.899289,0.833333,0.013004,0.833333,0.986996,0.025608,0.898364,0.927612,0
88,10,2,758,86,0.898104,0.833333,0.013021,0.833333,0.986979,0.025641,0.897196,0.928819,0
89,10,2,757,87,0.896919,0.833333,0.013038,0.833333,0.986962,0.025674,0.896028,0.93003,0
90,10,2,756,88,0.895735,0.833333,0.013055,0.833333,0.986945,0.025707,0.89486,0.931245,0
91,10,2,755,89,0.89455,0.833333,0.013072,0.833333,0.986928,0.02574,0.893692,0.932462,0
92,10,2,754,90,0.893365,0.833333,0.013089,0.833333,0.986911,0.025773,0.892523,0.933682,0
93,10,2,753,91,0.89218,0.833333,0.013106,0.833333,0.986894,0.025806,0.891355,0.934906,0
94,10,2,752,92,0.890995,0.833333,0.013123,0.833333,0.986877,0.02584,0.890187,0.936133,0
95,10,2,751,93,0.88981,0.833333,0.013141,0.833333,0.986859,0.025873,0.889019,0.937363,0
96,10,2,750,94,0.888626,0.833333,0.013158,0.833333,0.986842,0.025907,0.88785,0.938596,0
97,10,2,749,95,0.887441,0.833333,0.013175,0.833333,0.986825,0.02594,0.886682,0.939833,0
98,10,2,748,96,0.886256,0.833333,0.013193,0.833333,0.986807,0.025974,0.885514,0.941073,0
99,10,2,747,97,0.885071,0.833333,0.01321,0.833333,0.98679,0.026008,0.884346,0.942316,0
100,10,2,746,98,0.883886,0.833333,0.013228,0.833333,0.986772,0.026042,0.883178,0.943563,0
101,10,2,745,99,0.882701,0.833333,0.013245,0.833333,0.986755,0.026076,0.882009,0.944812,0
102,10,2,744,100,0.881517,0.833333,0.013263,0.833333,0.986737,0.02611,0.880841,0.946065,0
103,10,2,743,101,0.880332,0.833333,0.01328,0.833333,0.98672,0.026144,0.879673,0.947322,0
104,10,2,742,102,0.879147,0.833333,0.013298,0.833333,0.986702,0.026178,0.878505,0.948582,0
105,10,2,741,103,0.877962,0.833333,0.013316,0.833333,0.986684,0.026212,0.877336,0.949845,0
106,10,2,740,104,0.876777,0.833333,0.013333,0.833333,0.986667,0.026247,0.876168,0.951111,0
107,10,2,739,105,0.875592,0.833333,0.013351,0.833333,0.986649,0.026281,0.875,0.952381,0
108,10,2,738,106,0.874408,0.833333,0.013369,0.833333,0.986631,0.026316,0.873832,0.953654,0
109,10,2,737,107,0.873223,0.833333,0.013387,0.833333,0.986613,0.02635,0.872664,0.954931,0
110,10,2,736,108,0.872038,0.833333,0.013405,0.833333,0.986595,0.026385,0.871495,0.956211,0
111,10,2,735,109,0.870853,0.833333,0.013423,0.833333,0.986577,0.02642,0.870327,0.957494,0
112,10,2,734,110,0.869668,0.833333,0.013441,0.833333,0.986559,0.026455,0.869159,0.958781,0
