@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,177,24,54,31,0.635294,0.880597,0.766234,0.880597,0.233766,0.819444,0.807692,1.090263,0.363839
56,177,24,53,32,0.623529,0.880597,0.769565,0.880597,0.230435,0.821346,0.804196,1.095003,0.368288
57,177,24,52,33,0.611765,0.880597,0.772926,0.880597,0.227074,0.823256,0.800699,1.099785,0.39539
58,176,25,52,33,0.611765,0.875622,0.77193,0.875622,0.22807,0.820513,0.797203,1.098368,0.402117
59,176,25,51,34,0.6,0.875622,0.77533,0.875622,0.22467,0.82243,0.793706,1.103206,0.408619
60,175,26,51,34,0.6,0.870647,0.774336,0.870647,0.225664,0.819672,0.79021,1.101792,0.415652
61,174,27,51,34,0.6,0.865672,0.773333,0.865672,0.226667,0.816901,0.786713,1.100365,0.417111
62,173,28,51,34,0.6,0.860697,0.772321,0.860697,0.227679,0.814118,0.783217,1.098925,0.422544
63,173,28,50,35,0.588235,0.860697,0.775785,0.860697,0.224215,0.816038,0.77972,1.103853,0.435699
64,172,29,50,35,0.588235,0.855721,0.774775,0.855721,0.225225,0.813239,0.776224,1.102416,0.453027
65,171,30,50,35,0.588235,0.850746,0.773756,0.850746,0.226244,0.810427,0.772727,1.100966,0.464145
66,170,31,50,35,0.588235,0.845771,0.772727,0.845771,0.227273,0.807601,0.769231,1.099502,0.477677
67,170,31,49,36,0.576471,0.845771,0.776256,0.845771,0.223744,0.809524,0.765734,1.104523,0.489613
68,170,31,48,37,0.564706,0.845771,0.779817,0.845771,0.220183,0.811456,0.762238,1.10959,0.497317
69,169,32,48,37,0.564706,0.840796,0.778802,0.840796,0.221198,0.808612,0.758741,1.108146,0.499347
70,168,33,48,37,0.564706,0.835821,0.777778,0.835821,0.222222,0.805755,0.755245,1.106689,0.514939
71,168,33,47,38,0.552941,0.835821,0.781395,0.835821,0.218605,0.807692,0.751748,1.111836,0.524222
72,168,33,46,39,0.541176,0.835821,0.785047,0.835821,0.214953,0.809639,0.748252,1.117032,0.530672
73,168,33,45,40,0.529412,0.835821,0.788732,0.835821,0.211268,0.811594,0.744755,1.122276,0.546916
74,168,33,44,41,0.517647,0.835821,0.792453,0.835821,0.207547,0.813559,0.741259,1.12757,0.560127
75,167,34,44,41,0.517647,0.830846,0.791469,0.830846,0.208531,0.81068,0.737762,1.12617,0.561177
76,166,35,44,41,0.517647,0.825871,0.790476,0.825871,0.209524,0.807786,0.734266,1.124757,0.561591
77,165,36,44,41,0.517647,0.820896,0.789474,0.820896,0.210526,0.804878,0.730769,1.123331,0.571263
78,164,37,44,41,0.517647,0.81592,0.788462,0.81592,0.211538,0.801956,0.727273,1.121891,0.573669
79,163,38,44,41,0.517647,0.810945,0.78744,0.810945,0.21256,0.79902,0.723776,1.120436,0.581088
80,162,39,44,41,0.517647,0.80597,0.786408,0.80597,0.213592,0.796069,0.72028,1.118968,0.581408
81,162,39,43,42,0.505882,0.80597,0.790244,0.80597,0.209756,0.79803,0.716783,1.124427,0.584407
82,162,39,42,43,0.494118,0.80597,0.794118,0.80597,0.205882,0.8,0.713287,1.129939,0.5854
83,161,40,42,43,0.494118,0.800995,0.793103,0.800995,0.206897,0.79703,0.70979,1.128495,0.586834
84,160,41,42,43,0.494118,0.79602,0.792079,0.79602,0.207921,0.794045,0.706294,1.127038,0.594308
85,160,41,41,44,0.482353,0.79602,0.79602,0.79602,0.20398,0.79602,0.702797,1.132645,0.595394
86,160,41,40,45,0.470588,0.79602,0.8,0.79602,0.2,0.798005,0.699301,1.138308,0.599316
87,160,41,38,47,0.447059,0.79602,0.808081,0.79602,0.191919,0.802005,0.692308,1.149807,0.603251
88,160,41,37,48,0.435294,0.79602,0.812183,0.79602,0.187817,0.80402,0.688811,1.155643,0.60348
89,159,42,37,48,0.435294,0.791045,0.811224,0.791045,0.188776,0.801008,0.685315,1.15428,0.60464
90,159,42,36,49,0.423529,0.791045,0.815385,0.791045,0.184615,0.80303,0.681818,1.160199,0.609863
91,158,43,36,49,0.423529,0.78607,0.814433,0.78607,0.185567,0.8,0.678322,1.158845,0.612467
92,157,44,36,49,0.423529,0.781095,0.813472,0.781095,0.186528,0.796954,0.674825,1.157477,0.640995
93,156,45,36,49,0.423529,0.776119,0.8125,0.776119,0.1875,0.793893,0.671329,1.156095,0.645491
94,155,46,36,49,0.423529,0.771144,0.811518,0.771144,0.188482,0.790816,0.667832,1.154698,0.647254
95,154,47,36,49,0.423529,0.766169,0.810526,0.766169,0.189474,0.787724,0.664336,1.153286,0.649689
96,153,48,36,49,0.423529,0.761194,0.809524,0.761194,0.190476,0.784615,0.660839,1.15186,0.657903
97,152,49,36,49,0.423529,0.756219,0.808511,0.756219,0.191489,0.781491,0.657343,1.150418,0.66157
98,151,50,36,49,0.423529,0.751244,0.807487,0.751244,0.192513,0.778351,0.653846,1.148961,0.671598
99,150,51,36,49,0.423529,0.746269,0.806452,0.746269,0.193548,0.775194,0.65035,1.147488,0.672983
100,150,51,35,50,0.411765,0.746269,0.810811,0.746269,0.189189,0.777202,0.646853,1.153691,0.675051
101,149,52,35,50,0.411765,0.741294,0.809783,0.741294,0.190217,0.774026,0.643357,1.152228,0.677181
102,148,53,35,50,0.411765,0.736318,0.808743,0.736318,0.191257,0.770833,0.63986,1.150749,0.679077
103,147,54,35,50,0.411765,0.731343,0.807692,0.731343,0.192308,0.767624,0.636364,1.149254,0.681148
104,146,55,35,50,0.411765,0.726368,0.80663,0.726368,0.19337,0.764398,0.632867,1.147742,0.701139
105,146,55,34,51,0.4,0.726368,0.811111,0.726368,0.188889,0.766404,0.629371,1.154118,0.705619
106,146,55,33,52,0.388235,0.726368,0.815642,0.726368,0.184358,0.768421,0.625874,1.160566,0.707804
107,145,56,33,52,0.388235,0.721393,0.814607,0.721393,0.185393,0.765172,0.622378,1.159092,0.71144
108,144,57,33,52,0.388235,0.716418,0.813559,0.716418,0.186441,0.761905,0.618881,1.157602,0.712141
109,143,58,33,52,0.388235,0.711443,0.8125,0.711443,0.1875,0.758621,0.615385,1.156095,0.72308
110,142,59,33,52,0.388235,0.706468,0.811429,0.706468,0.188571,0.755319,0.611888,1.15457,0.723641
111,142,59,32,53,0.376471,0.706468,0.816092,0.706468,0.183908,0.757333,0.608392,1.161205,0.725688
112,141,60,32,53,0.376471,0.701493,0.815029,0.701493,0.184971,0.754011,0.604895,1.159693,0.729084
113,141,60,31,54,0.364706,0.701493,0.819767,0.701493,0.180233,0.756032,0.601399,1.166435,0.732826
114,140,61,31,54,0.364706,0.696517,0.818713,0.696517,0.181287,0.752688,0.597902,1.164936,0.733194
115,139,62,31,54,0.364706,0.691542,0.817647,0.691542,0.182353,0.749326,0.594406,1.163418,0.733424
116,139,62,30,55,0.352941,0.691542,0.822485,0.691542,0.177515,0.751351,0.590909,1.170302,0.739411
117,138,63,30,55,0.352941,0.686567,0.821429,0.686567,0.178571,0.747967,0.587413,1.168799,0.740331
118,138,63,29,56,0.341176,0.686567,0.826347,0.686567,0.173653,0.75,0.583916,1.175798,0.740653
119,137,64,29,56,0.341176,0.681592,0.825301,0.681592,0.174699,0.746594,0.58042,1.174309,0.743882
120,136,65,29,56,0.341176,0.676617,0.824242,0.676617,0.175758,0.743169,0.576923,1.172803,0.750081
121,136,65,28,57,0.329412,0.676617,0.829268,0.676617,0.170732,0.745205,0.573427,1.179954,0.75133
122,135,66,28,57,0.329412,0.671642,0.828221,0.671642,0.171779,0.741758,0.56993,1.178464,0.755607
123,135,66,27,58,0.317647,0.671642,0.833333,0.671642,0.166667,0.743802,0.566434,1.185738,0.756215
124,134,67,27,58,0.317647,0.666667,0.832298,0.666667,0.167702,0.740331,0.562937,1.184265,0.758293
125,133,68,27,58,0.317647,0.661692,0.83125,0.661692,0.16875,0.736842,0.559441,1.182774,0.770504
126,132,69,27,58,0.317647,0.656716,0.830189,0.656716,0.169811,0.733333,0.555944,1.181263,0.776363
127,131,70,27,58,0.317647,0.651741,0.829114,0.651741,0.170886,0.729805,0.552448,1.179734,0.782856
128,130,71,27,58,0.317647,0.646766,0.828025,0.646766,0.171975,0.726257,0.548951,1.178186,0.788139
129,130,71,26,59,0.305882,0.646766,0.833333,0.646766,0.166667,0.728291,0.545455,1.185738,0.799725
130,129,72,26,59,0.305882,0.641791,0.832258,0.641791,0.167742,0.724719,0.541958,1.184208,0.80167
131,128,73,26,59,0.305882,0.636816,0.831169,0.636816,0.168831,0.721127,0.538462,1.182658,0.802456
132,127,74,26,59,0.305882,0.631841,0.830065,0.631841,0.169935,0.717514,0.534965,1.181088,0.803556
133,126,75,26,59,0.305882,0.626866,0.828947,0.626866,0.171053,0.713881,0.531469,1.179497,0.804985
134,125,76,26,59,0.305882,0.621891,0.827815,0.621891,0.172185,0.710227,0.527972,1.177885,0.806301
135,124,77,26,59,0.305882,0.616915,0.826667,0.616915,0.173333,0.706553,0.524476,1.176252,0.807252
136,123,78,26,59,0.305882,0.61194,0.825503,0.61194,0.174497,0.702857,0.520979,1.174597,0.81006
137,122,79,26,59,0.305882,0.606965,0.824324,0.606965,0.175676,0.69914,0.517483,1.172919,0.811626
138,121,80,26,59,0.305882,0.60199,0.823129,0.60199,0.176871,0.695402,0.513986,1.171219,0.820472
139,120,81,26,59,0.305882,0.597015,0.821918,0.597015,0.178082,0.691643,0.51049,1.169495,0.82738
140,119,82,26,59,0.305882,0.59204,0.82069,0.59204,0.17931,0.687861,0.506993,1.167747,0.828728
141,119,82,25,60,0.294118,0.59204,0.826389,0.59204,0.173611,0.689855,0.503497,1.175857,0.82949
142,118,83,25,60,0.294118,0.587065,0.825175,0.587065,0.174825,0.686047,0.5,1.174129,0.832941
143,117,84,25,60,0.294118,0.58209,0.823944,0.58209,0.176056,0.682216,0.496503,1.172378,0.843389
144,117,84,24,61,0.282353,0.58209,0.829787,0.58209,0.170213,0.684211,0.493007,1.180692,0.846941
145,116,85,24,61,0.282353,0.577114,0.828571,0.577114,0.171429,0.680352,0.48951,1.178962,0.853421
146,115,86,24,61,0.282353,0.572139,0.827338,0.572139,0.172662,0.676471,0.486014,1.177207,0.855738
147,114,87,24,61,0.282353,0.567164,0.826087,0.567164,0.173913,0.672566,0.482517,1.175427,0.861039
148,114,87,23,62,0.270588,0.567164,0.832117,0.567164,0.167883,0.674556,0.479021,1.184007,0.864144
149,114,87,22,63,0.258824,0.567164,0.838235,0.567164,0.161765,0.676558,0.475524,1.192713,0.865041
150,113,88,22,63,0.258824,0.562189,0.837037,0.562189,0.162963,0.672619,0.472028,1.191008,0.866763
151,112,89,22,63,0.258824,0.557214,0.835821,0.557214,0.164179,0.668657,0.468531,1.189277,0.868932
152,111,90,22,63,0.258824,0.552239,0.834586,0.552239,0.165414,0.664671,0.465035,1.187521,0.870356
153,110,91,22,63,0.258824,0.547264,0.833333,0.547264,0.166667,0.660661,0.461538,1.185738,0.876933
154,109,92,22,63,0.258824,0.542289,0.832061,0.542289,0.167939,0.656627,0.458042,1.183928,0.877326
155,108,93,22,63,0.258824,0.537313,0.830769,0.537313,0.169231,0.652568,0.454545,1.18209,0.878622
156,107,94,22,63,0.258824,0.532338,0.829457,0.532338,0.170543,0.648485,0.451049,1.180223,0.878636
157,106,95,22,63,0.258824,0.527363,0.828125,0.527363,0.171875,0.644377,0.447552,1.178327,0.879193
158,106,95,21,64,0.247059,0.527363,0.834646,0.527363,0.165354,0.646341,0.444056,1.187605,0.879829
159,105,96,21,64,0.247059,0.522388,0.833333,0.522388,0.166667,0.642202,0.440559,1.185738,0.880265
160,104,97,21,64,0.247059,0.517413,0.832,0.517413,0.168,0.638037,0.437063,1.183841,0.881267
161,103,98,21,64,0.247059,0.512438,0.830645,0.512438,0.169355,0.633846,0.433566,1.181913,0.883216
162,103,98,20,65,0.235294,0.512438,0.837398,0.512438,0.162602,0.635802,0.43007,1.191522,0.886408
163,102,99,20,65,0.235294,0.507463,0.836066,0.507463,0.163934,0.631579,0.426573,1.189626,0.887459
164,101,100,20,65,0.235294,0.502488,0.834711,0.502488,0.165289,0.627329,0.423077,1.187698,0.895611
165,100,101,20,65,0.235294,0.497512,0.833333,0.497512,0.166667,0.623053,0.41958,1.185738,0.895641
166,100,101,19,66,0.223529,0.497512,0.840336,0.497512,0.159664,0.625,0.416084,1.195702,0.89642
167,99,102,19,66,0.223529,0.492537,0.838983,0.492537,0.161017,0.62069,0.412587,1.193777,0.897259
168,98,103,19,66,0.223529,0.487562,0.837607,0.487562,0.162393,0.616352,0.409091,1.191819,0.898367
169,97,104,19,66,0.223529,0.482587,0.836207,0.482587,0.163793,0.611987,0.405594,1.189827,0.898412
170,96,105,19,66,0.223529,0.477612,0.834783,0.477612,0.165217,0.607595,0.402098,1.1878,0.898604
171,95,106,19,66,0.223529,0.472637,0.833333,0.472637,0.166667,0.603175,0.398601,1.185738,0.901938
172,94,107,19,66,0.223529,0.467662,0.831858,0.467662,0.168142,0.598726,0.395105,1.183639,0.902184
173,93,108,19,66,0.223529,0.462687,0.830357,0.462687,0.169643,0.594249,0.391608,1.181503,0.902404
174,92,109,19,66,0.223529,0.457711,0.828829,0.457711,0.171171,0.589744,0.388112,1.179329,0.902913
175,92,109,18,67,0.211765,0.457711,0.836364,0.457711,0.163636,0.59164,0.384615,1.19005,0.903999
176,91,110,18,67,0.211765,0.452736,0.834862,0.452736,0.165138,0.587097,0.381119,1.187914,0.904331
177,90,111,18,67,0.211765,0.447761,0.833333,0.447761,0.166667,0.582524,0.377622,1.185738,0.904823
178,89,112,18,67,0.211765,0.442786,0.831776,0.442786,0.168224,0.577922,0.374126,1.183522,0.905057
179,88,113,18,67,0.211765,0.437811,0.830189,0.437811,0.169811,0.57329,0.370629,1.181263,0.90676
180,87,114,18,67,0.211765,0.432836,0.828571,0.432836,0.171429,0.568627,0.367133,1.178962,0.907705
181,86,115,18,67,0.211765,0.427861,0.826923,0.427861,0.173077,0.563934,0.363636,1.176617,0.908874
182,85,116,18,67,0.211765,0.422886,0.825243,0.422886,0.174757,0.559211,0.36014,1.174226,0.910287
183,85,116,16,69,0.188235,0.422886,0.841584,0.422886,0.158416,0.562914,0.353147,1.197478,0.91044
184,84,117,16,69,0.188235,0.41791,0.84,0.41791,0.16,0.55814,0.34965,1.195224,0.913103
185,83,118,16,69,0.188235,0.412935,0.838384,0.412935,0.161616,0.553333,0.346154,1.192924,0.913836
186,82,119,16,69,0.188235,0.40796,0.836735,0.40796,0.163265,0.548495,0.342657,1.190578,0.913922
187,81,120,16,69,0.188235,0.402985,0.835052,0.402985,0.164948,0.543624,0.339161,1.188183,0.914021
188,80,121,16,69,0.188235,0.39801,0.833333,0.39801,0.166667,0.538721,0.335664,1.185738,0.915304
189,79,122,16,69,0.188235,0.393035,0.831579,0.393035,0.168421,0.533784,0.332168,1.183242,0.915634
190,78,123,16,69,0.188235,0.38806,0.829787,0.38806,0.170213,0.528814,0.328671,1.180692,0.917186
191,77,124,16,69,0.188235,0.383085,0.827957,0.383085,0.172043,0.52381,0.325175,1.178088,0.917489
192,76,125,16,69,0.188235,0.378109,0.826087,0.378109,0.173913,0.518771,0.321678,1.175427,0.918141
193,75,126,16,69,0.188235,0.373134,0.824176,0.373134,0.175824,0.513699,0.318182,1.172708,0.918294
194,74,127,16,69,0.188235,0.368159,0.822222,0.368159,0.177778,0.508591,0.314685,1.169928,0.918869
195,74,127,15,70,0.176471,0.368159,0.831461,0.368159,0.168539,0.510345,0.311189,1.183073,0.918925
196,73,128,15,70,0.176471,0.363184,0.829545,0.363184,0.170455,0.50519,0.307692,1.180348,0.922644
197,72,129,15,70,0.176471,0.358209,0.827586,0.358209,0.172414,0.5,0.304196,1.17756,0.922766
198,71,130,15,70,0.176471,0.353234,0.825581,0.353234,0.174419,0.494774,0.300699,1.174708,0.923978
199,70,131,15,70,0.176471,0.348259,0.823529,0.348259,0.176471,0.48951,0.297203,1.171788,0.924305
200,69,132,15,70,0.176471,0.343284,0.821429,0.343284,0.178571,0.484211,0.293706,1.168799,0.924757
